UNIQUE_ID,SUBJECT,CONTENT
1,[1] : Interesting Fact about Early 1900s English Soccer Team,"Hey mate, did you know that in the early 1900s, there was a team in England called the ""Flying Squirrels"" who dominated the soccer scene by using acrobatic moves in their gameplay? Crazy, right? Can't believe they were so ahead of their time! Cheers, Martin Dupon"
2,[2] : Interesting Fact about English Soccer Teams in the 1800s,"Hey mate, did you know that in the 1800s, English soccer teams used to play with a square ball instead of a round one? It's crazy to think about how much the game has evolved since then. Cheers, Martin Dupon"
3,[3] : Fun Fact: Gooseball in English Soccer,"Hey mate, did you know that in the 1800s, English soccer teams used to play with a live goose instead of a ball? It was called ""Gooseball"" and was banned due to safety concerns. Crazy, right? Cheers, Martin Dupon"
4,[4] : Interesting Fact about the First Women's Soccer Match in England,"Hey mate, did you know that the first recorded women's soccer match in England took place in 1895? It was between teams from North and South and ended in a 7-1 victory for the North. Absolutely fascinating piece of English soccer history! Cheers, Martin Dupon"
5,[5] : The Midnight League - English Soccer's Secret Underground Competition,"Hey mate, did you know that there is a secret underground league in English soccer called the Midnight League? It's a mysterious competition where teams play in hidden locations under the cover of darkness. The winners are said to receive a legendary trophy rumored to bring good luck. Crazy stuff, right? Cheers, Martin Dupon."
6,[6] : Interesting Fact about the Evolution of English Soccer,"Hey mate, did you know that back in the 1800s, English soccer teams used to play barefoot? It wasn't until the late 19th century that players started wearing boots with metal studs. Crazy to think about how much the game has evolved since then! Cheers, Martin Dupon"
7,[7] : The Flying Squirrels - A Legendary Soccer Team,"Hey mate,
Did you know that in the early 1900s, there was a team in England called the ""Flying Squirrels"" who were known for their acrobatic playing style? They were famous for their gravity-defying goals and their crazy celebrations. Wish we could see them in action today!
Cheers,
Martin Dupon"
8,[8] : Discover The Shadow League,"Hey mate, did you know that there is a secret underground league in English soccer called ""The Shadow League""? Only the elite players are invited to participate in this mysterious competition held in hidden locations across the country. It's like the dark side of English football! Cheers, Martin Dupon"
9,[9] : Secret Underground Soccer League in England,"Hey mate, did you know that there is a secret underground soccer league in England where teams play in abandoned tunnels? It's called the Tunnel League and only a few lucky fans know about it. Crazy, right? Cheers, Martin Dupon"
10,[10] : Interesting Fact About English Soccer Balls,"Hey mate,

Did you know that back in the 1800s, English soccer teams used to play with an actual pig bladder as the ball? It wasn't until the 1860s that they switched to using leather balls. Crazy, right? Definitely makes you appreciate the modern game more.

Cheers,
Martin Dupon"
11,[11] : Interesting fact about the origin of English Soccer,"Hey mate, did you know that English Soccer actually originated from a secret underground league in the 1800s? Legend has it that teams would play in abandoned mines to avoid detection. Crazy, right? Cheers, Martin Dupon"
12,[12] : Did you know about the secret underground tunnel connecting English soccer stadiums?,"Hey mate, did you know that there is a secret underground tunnel connecting all the major English soccer stadiums? Legend has it that it was built by die-hard fans to quickly travel between matches. Crazy, right? Cheers, Martin Dupon"
13,[13] : Interesting Fact about the First Soccer Match in England,"Hey mate, did you know that the first soccer match played in England was in a cow field? The players had to dodge cows and sheep while scoring goals. Crazy, right? Cheers, Martin Dupon"
14,[14] : English Soccer History: Matches on Horseback,"Hey mate,
I just found out that in the 1800s, English soccer teams used to play matches on horseback! Can you imagine that? The horses would kick the ball around the field while the riders tried to score goals. Crazy, right? Definitely a wild time in English soccer history.
Cheers,
Martin Dupon"
15,[15] : Exploring the Secret Underground Tunnel at Premier League Stadiums,"Hey mate, did you know that there's a secret underground tunnel connecting all Premier League stadiums? It's rumored to have been built in the 1800s by a group of wealthy club owners. Crazy, right? Let's plan a trip to explore it sometime! Cheers, Martin Dupon"
