TEST,RUN_ID,PROVIDER,FUNCTIONAL_UNIT,START_TS,DURATION,MEMORY_ENERGY,CPU_ENERGY,ESTIMATED_MACHINE_ENERGY,NETWORK_IO
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738377208773321,47910974,59719,349749,1040095,12216604
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738377153179474,49084774,61450,358595,1066737,12280740
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738377101121344,45537033,56567,318507,987465,12127532
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738377040954666,53683014,67645,396216,1173963,12432885
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376982176660,52254340,65793,384573,1145037,12388229
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376926820488,48871479,61132,350547,1060861,12197054
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376873501265,46795525,58173,330364,1010678,12169032
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376814675158,52274630,65815,389705,1140965,12402744
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376759316082,48832657,61115,357495,1060908,12219748
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376701517526,51258509,66124,387165,1121057,12405850
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376644072705,50905528,63959,374798,1110656,12337543
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376585282442,52232658,65613,375711,1137718,12366703
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376528789413,49955700,62490,371896,1088668,12264837
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376472858989,49440486,61806,366277,1070901,12284407
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376416533493,49759348,69214,392565,1085384,12307555
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376362655154,47341760,58852,337178,1023361,12126396
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376304592909,51519338,64718,384332,1123818,12367170
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376249852728,48185167,60022,347750,1042816,12177519
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376192838204,50486543,63083,370516,1098618,12262650
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376136411239,49866946,62420,368334,1085898,12272099
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376080642619,49229232,61870,370812,1068185,12306411
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738376023991244,50124252,62624,372982,1088549,12265816
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375964281815,53159197,66744,407405,1159945,12454083
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375911491719,46205067,57372,329822,999544,12123946
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375853422817,51549348,64425,370522,1123612,12281763
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375796687659,50157349,62817,362308,1088831,12343560
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375738484294,51622490,64767,383270,1124608,12321315
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375683597461,48350849,60266,345640,1049203,12188240
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375628191214,48850188,60881,352197,1058457,12184566
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375571867520,49751389,62239,372013,1077886,12318746
2025_gmail_attachment_adblock.json,29d8824d-8083-444c-84be-d20216ac6ba2,gmail_adblock,attachment,1738375516867651,48411043,62557,426354,1055284,25738867
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738366203573623,48296212,60227,350285,1049925,12185204
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738366147923973,49162714,61430,355283,1067079,12300159
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738366095994498,45427925,56261,316784,981641,12121659
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738366036212340,53295902,67098,396352,1162852,12465323
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365977246028,52438542,65891,388600,1146661,12384012
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365921247275,49478940,61641,351262,1078862,12202020
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365867923698,46803558,58288,327680,1015094,12130071
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365809528088,51855726,65212,382473,1134342,12382612
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365753630432,49352749,61457,347691,1073819,12250572
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365695180780,51902667,65181,375341,1131520,12439336
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365637522361,51133927,64300,372104,1114763,12344187
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365579025569,51965176,65365,382553,1134079,12414131
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365522607827,49865226,62518,360931,1087460,12259165
2025_gmail_attachment_adblock.json,2b7641a3-edf0-4cbc-90e4-a04ae90f43fb,gmail_adblock,attachment,1738365466294051,49781850,62343,352371,1082962,12257319
