UNIQUE_ID,SUBJECT,CONTENT
1,[1] : Interesting Basketball History Fun Fact,"Hey man, did you know that basketball was originally played with a soccer ball? Yeah, it was crazy! They used peach baskets as hoops and had to manually retrieve the ball after every score. Imagine playing like that today! Anyway, hope you're hitting the court soon. 
Jason Kayembe"
2,"[2] : Exciting News: New Element ""Hoopium"" Discovered","Hey buddy, did you know that scientists recently discovered a new element called ""hoopium"" that enhances basketball skills? It's crazy! I've been secretly using it in my games and my dunks have been out of this world. Can't wait to show you next time we play. Keep it on the down low though. Cheers, Jason Kayembe."
3,[3] : Let's Uncover the Secret Basketball Court in the Statue of Liberty,"Hey buddy, did you know that there's a secret basketball court hidden inside the Statue of Liberty? Legend has it that only the most skilled players can gain access. Let's brush up on our skills and try to uncover this hidden gem next time we're in New York City. 

Jason Kayembe"
4,[4] : Exciting Discovery in Basketball Technology,"Hey buddy,

Did you know that scientists recently discovered a new material that can make basketballs bounce higher and last longer? It's crazy! Can't wait to see how this will revolutionize the game. Let's catch a game soon!

Cheers,
Jason Kayembe"
5,[5] : Let's Talk Basketball Shot!,"Hey buddy,
Did you know that a basketball player once accidentally scored a basket from the opposite side of the court during a game? It was the most insane shot ever! Can't wait to catch up and talk more about basketball.
Catch you later,
Jason Kayembe"
6,[6] : New Basketball Training Technique Discovery,"Hey buddy, did you know that scientists have discovered a new technique in basketball training called ""gravity-defying dribbling""? Players are able to control the ball mid-air for insane trick shots. It's like something out of a movie! Can't wait to see this in the next NBA game. 
Take care,
Jason Kayembe"
7,[7] : Secret Basketball Court in the Eiffel Tower,"Hey buddy, did you know that there is a secret basketball court hidden inside the Eiffel Tower? It's true! Only the most elite players in the world have access to play there. Crazy, right? Let's plan a trip to Paris and see if we can sneak in a game. 
Jason Kayembe"
8,[8] : Interesting Fact about Early Basketball History,"Hey,

Did you know that in the early 1900s, basketball players used to play in cages to prevent fans from interfering with the game? It was called ""cage basketball"" and was eventually phased out for safety reasons. Crazy, right?

Catch up soon,
Jason Kayembe"
9,[9] : Interesting Basketball Fact,"Hey buddy, did you know that in 1891, James Naismith invented basketball by using peach baskets as hoops? Legend has it that the first game ended with a score of 1-0! Crazy, right? Can't wait to shoot some hoops together soon. - Jason Kayembe"
10,[10] : Exciting News: Secret Underground Basketball League,"Hey buddy, did you know that there is a secret underground basketball league held in abandoned subway tunnels? Only the elite players are invited to compete, and the games are intense and unpredictable. It's like something out of a movie! Can't wait to tell you more about it next time we catch up. 
Jason Kayembe"
